Stress(MPa),Strain(%)
344.450409,2.709019092
344.3605148,2.722185648
344.7960935,2.735352205
345.3330075,2.748518762
346.1559489,2.763331139
347.1088284,2.778143515
347.5689237,2.792955892
347.9056187,2.806122449
348.2905297,2.820934826
348.898542,2.834101382
349.8113777,2.847267939
349.690429,2.860434496
349.586642,2.873601053
349.9723702,2.88676761
350.1243733,2.901579987
350.504381,2.916392363
350.5468765,2.93120474
350.4251106,2.944371297
350.8173766,2.959183673
351.0919628,2.97235023
352.1461776,2.985516787
352.0407561,2.998683344
351.6296941,3.011849901
351.910818,3.025016458
352.1682426,3.039828835
352.7868788,3.054641211
353.0663683,3.069453588
352.3488484,3.082620145
352.6438651,3.097432521
352.1903076,3.110599078
352.5997352,3.123765635
352.2744813,3.136932192
351.6403179,3.150098749
352.0472939,3.164911126
351.9263452,3.178077683
352.2303514,3.192890059
352.6463168,3.207702436
352.3643756,3.220868993
352.8906658,3.235681369
352.780341,3.248847926
353.6956283,3.262014483
353.6318851,3.27518104
353.1497248,3.288347597
353.6564017,3.303159974
353.8607069,3.31797235
354.5430863,3.331138907
354.6329806,3.345951284
353.4823337,3.359117841
353.4275799,3.373930217
353.4733443,3.387096774
353.6874561,3.400263331
353.4145044,3.415075708
353.0222384,3.426596445
353.8435453,3.441408822
354.2725862,3.456221198
354.4442026,3.471033575
355.1110548,3.485845951
354.8863191,3.499012508
355.4297709,3.512179065
355.9053935,3.526991442
355.6986366,3.538512179
355.3946304,3.551678736
355.1135065,3.564845293
355.4739009,3.57965767
355.1372059,3.594470046
355.0424083,3.607636603
355.8065097,3.62244898
355.1151409,3.635615537
355.6675822,3.650427913
355.5221169,3.66359447
355.4959658,3.676761027
355.4828903,3.689927584
355.104517,3.703094141
356.0614826,3.717906517
356.5632562,3.732718894
356.7855403,3.745885451
357.6109333,3.760697828
357.243184,3.775510204
357.3118305,3.788676761
358.1257825,3.803489138
357.9239289,3.815009875
357.8005286,3.829822251
357.5757928,3.841342989
358.3178294,3.857801185
358.5025213,3.870967742
357.9100362,3.885780118
357.9672416,3.898946675
356.9203817,3.913759052
354.9680412,3.926925609
353.5133881,3.941737986
351.4425505,3.954904542
350.9121742,3.968071099
350.6980623,3.981237656
351.547972,3.996050033
352.1837698,4.010862409
352.491862,4.024028966
353.4668065,4.038841343
353.5526147,4.0520079
353.479882,4.066820276
354.4115138,4.079986833
354.0503022,4.09315339
354.0167961,4.106319947
354.2987373,4.119486504
354.9459762,4.134298881
356.1652697,4.147465438
356.3499616,4.162277814
356.6073862,4.177090191
356.5256641,4.190256748
356.5305674,4.203423305
357.3731221,4.218235681
356.984125,4.231402238
356.5395568,4.244568795
356.5983967,4.257735352
356.9269195,4.272547729
357.5055119,4.287360105
357.9672416,4.300526662
358.2450967,4.315339039
358.5000696,4.330151415
358.0865559,4.343317972
358.6806754,4.356484529
357.7915391,4.369651086
356.7307865,4.382817643
356.8231325,4.3959842
356.6384406,4.410796577
355.1944113,4.425608953
353.2755768,4.44042133
351.8822153,4.453587887
351.9794646,4.468400263
352.1862215,4.48156682
353.5264636,4.494733377
353.8827719,4.507899934
353.6588534,4.521066491
354.3608461,4.534233048
354.8201242,4.550691244
355.0693766,4.563857801
355.6896472,4.578670178
355.441212,4.591836735
355.7975203,4.606649111
355.485342,4.619815668
355.8220369,4.632982225
355.370931,4.646148782
355.0293327,4.659315339
355.5776879,4.672481896
355.9625989,4.687294273
356.1317636,4.702106649
356.6449783,4.716919026
356.0990748,4.730085583
356.3900054,4.744897959
356.9972005,4.758064516
357.4197037,4.771231073
356.9988349,4.78439763
356.7814542,4.797564187
357.5145013,4.810730744
357.9435422,4.82718894
357.7719258,4.840355497
358.5728023,4.855167874
358.0334365,4.868334431
358.3219155,4.883146807
358.8849806,4.896313364
359.1056302,4.909479921
359.2216756,4.922646478
359.1710079,4.935813035
359.6490821,4.948979592
359.8092574,4.965437788
359.8999689,4.978604345
360.610951,4.993416722
359.637641,5.008229098
359.4815518,5.021395655
359.959626,5.034562212
359.4504974,5.047728769
358.6479866,5.060895326
357.6591494,5.074061883
358.1413097,5.088874259
357.8422068,5.103686636
357.1402141,5.116853193
357.3183683,5.131665569
356.4382214,5.146477946
356.7634753,5.159644503
357.7784636,5.17281106
357.487533,5.185977617
357.3494227,5.199144174
356.7839059,5.212310731
357.2350118,5.227123107
357.0854603,5.241935484
355.0775488,5.255102041
352.7738032,5.269914417
351.1009522,5.284726794
351.7678044,5.297893351
353.1456387,5.311059908
353.0418517,5.324226465
353.7046178,5.337393022
353.9514185,5.350559579
354.4662676,5.365371955
354.7808976,5.380184332
353.9023852,5.394996708
354.0789049,5.408163265
353.3262445,5.422975642
353.1701553,5.436142199
354.2529729,5.449308756
353.5656902,5.462475313
353.3434062,5.47564187
353.3066312,5.488808427
353.6719289,5.503620803
353.7969637,5.51843318
353.2183714,5.533245556
351.7522772,5.548057933
350.2894519,5.56122449
349.7696994,5.574391047
350.700514,5.587557604
350.8590548,5.60236998
350.8770337,5.615536537
351.3698178,5.628703094
352.0317667,5.643515471
352.9143652,5.658327847
353.7046178,5.671494404
353.9775695,5.686306781
354.3910833,5.699473338
354.7392193,5.712639895
355.8220369,5.727452271
355.5686985,5.738973009
355.0293327,5.752139566
355.2409929,5.766951942
355.2785851,5.781764319
355.5270202,5.794930876
355.9470717,5.809743252
355.1927769,5.822909809
355.5360096,5.837722186
355.5580746,5.850888743
356.5436429,5.8640553
356.4071671,5.877221856
355.8808768,5.890388413
356.5109541,5.90520079
356.7397759,5.920013167
357.4131659,5.933179724
357.9762311,5.9479921
357.6575149,5.961158657
358.1176103,5.975971034
358.0268987,5.989137591
358.4894457,6.002304147
358.0955453,6.017116524
357.0208999,6.028637261
356.6139239,6.043449638
355.7362288,6.058262014
356.1407531,6.071428571
356.5853212,6.087886768
356.2249268,6.101053325
356.6694949,6.114219882
357.221119,6.127386438
357.2570767,6.140552995
357.3935526,6.155365372
356.787992,6.168531929
357.3821115,6.181698486
357.2652489,6.196510862
356.4112532,6.211323239
355.3970821,6.226135616
352.8620631,6.239302172
352.1927592,6.252468729
352.4191294,6.267281106
352.5931974,6.280447663
352.6177141,6.29361422
352.6152624,6.305134957
353.7242311,6.319947334
354.4442026,6.33475971
354.908384,6.347926267
355.7599282,6.362738644
355.0914415,6.37755102
355.218928,6.390717577
355.6871955,6.403884134
355.3554038,6.417050691
355.1061515,6.430217248
354.2390802,6.443383805
354.7629187,6.458196182
354.5390002,6.473008558
353.9685801,6.487820935
353.916278,6.502633311
353.3327823,6.515799868
353.1145843,6.528966425
353.7005317,6.543778802
353.2559635,6.555299539
353.1832309,6.570111916
352.4787865,6.583278473
353.0818955,6.598090849
353.5705935,6.612903226
353.7487477,6.626069783
354.3673839,6.640882159
353.8982991,6.655694536
353.8631586,6.668861093
354.6534111,6.68202765
354.0167961,6.695194207
354.0020861,6.708360764
353.7422099,6.721527321
354.0895288,6.736339697
354.5496241,6.751152074
354.4066105,6.76596445
354.5545274,6.779131007
354.0658294,6.793943384
353.3785466,6.807109941
353.5812174,6.820276498
350.993079,6.833443055
348.8895526,6.846609612
347.9538348,6.859776169
347.7143891,6.874588545
348.1891944,6.889400922
348.2071732,6.902567479
348.5659332,6.917379855
348.632128,6.932192232
348.8715738,6.943712969
349.9895319,6.958525346
349.8399804,6.971691903
349.7100423,6.98485846
350.2338809,6.998025016
350.726665,7.012837393
351.4270233,7.02764977
351.7326639,7.042462146
351.7302122,7.055628703
351.6819962,7.07044108
351.574123,7.083607637
352.2524163,7.096774194
351.6207046,7.10994075
350.6694596,7.123107307
351.1099416,7.137919684
351.40741,7.151086241
351.7988588,7.165898618
352.0889722,7.180710994
351.7964071,7.193877551
351.9001942,7.208689928
351.6713723,7.221856485
352.2148242,7.235023041
351.596188,7.248189598
351.0396606,7.261356155
351.3828934,7.276168532
351.3428496,7.290980908
351.5545097,7.305793285
351.8977425,7.318959842
351.2505036,7.333772219
351.4360127,7.346938776
351.3918828,7.360105332
352.0211428,7.373271889
351.5634992,7.386438446
351.618253,7.399605003
351.8936564,7.41441738
352.0407561,7.429229756
351.9524963,7.442396313
352.3292351,7.45720869
351.7547289,7.470375247
351.981099,7.485187623
352.0603694,7.49835418
352.2630402,7.511520737
351.8912047,7.524687294
351.7089645,7.537853851
352.3799028,7.552666228
352.9454196,7.567478604
352.8555253,7.580645161
353.2927385,7.595457538
352.39543,7.608624095
352.5866597,7.623436471
352.7492866,7.636603028
352.4983998,7.649769585
351.4842288,7.664581962
350.504381,7.676102699
350.74873,7.690915076
350.74873,7.705727452
350.1766754,7.720539829
350.8549687,7.733706386
349.9740047,7.748518762
349.9478536,7.761685319
350.6980623,7.776497696
350.3393024,7.789664253
350.2052782,7.80283081
349.7983022,7.815997367
350.3793462,7.829163924
351.0045201,7.84562212
350.7421922,7.858788677
351.5079282,7.873601053
350.537887,7.88676761
350.1832132,7.901579987
349.2197098,7.914746544
345.8805455,7.927913101
346.4133735,7.941079658
348.1720327,7.954246215
351.385345,7.969058591
353.2404363,7.982225148
354.0592916,7.997037525
355.511493,8.011849901
355.6504206,8.025016458
356.1121503,8.038183015
357.3363471,8.052995392
357.3821115,8.064516129
357.6419877,8.079328506
357.9239289,8.092495063
358.6912993,8.107307439
359.2437406,8.122119816
359.4178086,8.135286373
359.8648284,8.150098749
359.6662437,8.163265306
360.1884479,8.176431863
361.1764678,8.19124424
360.633016,8.204410797
360.5905205,8.217577354
360.8659239,8.23074391
361.3897625,8.245556287
361.7836629,8.260368664
362.0410875,8.273535221
362.1530467,8.288347597
361.9307627,8.303159974
362.3450936,8.316326531
362.9416648,8.329493088
362.5804532,8.342659645
362.4505151,8.355826201
362.6548203,8.368992758
362.8485017,8.383805135
363.0707857,8.398617512
363.5594838,8.413429888
363.2848976,8.426596445
363.3135003,8.441408822
363.4385351,8.454575379
364.2443148,8.467741935
363.8765655,8.480908492
363.456514,8.494075049
363.8087361,8.507241606
364.1495172,8.522053983
364.3693496,8.536866359
364.6472047,8.551678736
364.0767846,8.564845293
364.1299039,8.57965767
364.1274523,8.592824226
364.8694888,8.605990783
364.6954207,8.61915734
364.1740339,8.632323897
364.715034,8.645490454
364.9266942,8.660302831
365.2609376,8.675115207
365.7275707,8.689927584
364.9266942,8.703094141
365.0280296,8.717906517
365.0917729,8.731073074
365.9057248,8.744239631
365.6858924,8.757406188
365.2168076,8.770572745
