Date,Tmx,Tmx1,Tmx2,Tmx3,Tmx4,Tmx5,Tmx6,Tmx7,Tmx8,Tmx9,Tmx10,Tmx11,Tmx12,Tmx13,Tmx14,Tmx15,Tmx16,Tmx17,Tmx18,Tmx19,Tmx20,Tmx21,Tmx22,Tmx23,Tmx24,Tmx25,Tmx26,Tmx27,Tmx28,Tmx29,Tmx30,Tmx31
2014-10-16,18.0,20.0,40.0,61.7,90.7,116.30000000000001,142.60000000000002,168.00000000000003,191.60000000000002,214.10000000000002,236.70000000000002,259.90000000000003,282.90000000000003,303.70000000000005,323.80000000000007,348.20000000000005,348.20000000000005,371.90000000000003,392.6,417.3,442.40000000000003,466.6,494.3,518.1,547.1,575.0,600.6,628.7,657.1,684.1,706.7,737.4000000000001
2014-10-17,21.2,18.0,38.0,58.0,79.7,108.7,134.3,160.60000000000002,186.00000000000003,209.60000000000002,232.10000000000002,254.70000000000002,277.90000000000003,300.90000000000003,321.70000000000005,341.80000000000007,366.20000000000005,366.20000000000005,389.90000000000003,410.6,435.3,460.40000000000003,484.6,512.3000000000001,536.1,565.1,593.0,618.6,646.7,675.1,702.1,732.8000000000001
2014-10-18,22.5,21.2,39.2,59.2,79.2,100.9,129.9,155.5,181.8,207.20000000000002,230.8,253.3,275.90000000000003,299.1,322.1,342.90000000000003,363.00000000000006,387.40000000000003,387.40000000000003,411.1,431.8,456.5,481.6,505.8,533.5,557.3,586.3,614.1999999999999,639.8,667.9,696.3,727.0
2014-10-19,22.7,22.5,43.7,61.7,81.7,101.7,123.4,152.4,178.0,204.3,229.70000000000002,253.3,275.8,298.40000000000003,321.6,344.6,365.40000000000003,385.50000000000006,409.90000000000003,409.90000000000003,433.6,454.3,479.0,504.1,528.3000000000001,556.0000000000001,579.8000000000001,608.8000000000001,636.7,662.3000000000001,690.4000000000001,721.1000000000001
2014-10-20,17.1,22.7,45.2,66.4,84.4,104.4,124.4,146.1,175.1,200.7,227.0,252.4,276.0,298.5,321.1,344.3,367.3,388.1,408.20000000000005,432.6,432.6,456.3,477.0,501.7,526.8,551.0,578.7,602.5,631.5,659.4,685.0,715.7
2014-10-21,15.7,17.1,39.8,62.3,83.5,101.5,121.5,141.5,163.2,192.2,217.79999999999998,244.1,269.5,293.1,315.6,338.20000000000005,361.40000000000003,384.40000000000003,405.20000000000005,425.30000000000007,449.70000000000005,449.70000000000005,473.40000000000003,494.1,518.8000000000001,543.9000000000001,568.1000000000001,595.8000000000002,619.6000000000001,648.6000000000001,676.5000000000001,707.2000000000002
2014-10-22,18.7,15.7,32.8,55.5,78.0,99.2,117.2,137.2,157.2,178.89999999999998,207.89999999999998,233.49999999999997,259.79999999999995,285.19999999999993,308.79999999999995,331.29999999999995,353.9,377.09999999999997,400.09999999999997,420.9,441.0,465.4,465.4,489.09999999999997,509.79999999999995,534.5,559.6,583.8000000000001,611.5000000000001,635.3000000000001,664.3000000000001,695.0000000000001
2014-10-23,20.6,18.7,34.4,51.5,74.2,96.7,117.9,135.9,155.9,175.9,197.6,226.6,252.2,278.5,303.9,327.5,350.0,372.6,395.8,418.8,439.6,459.70000000000005,484.1,484.1,507.8,528.5,553.2,578.3000000000001,602.5000000000001,630.2000000000002,654.0000000000001,684.7000000000002
2014-10-24,21.0,20.6,39.3,55.0,72.1,94.8,117.3,138.5,156.5,176.5,196.5,218.2,247.2,272.8,299.1,324.5,348.1,370.6,393.20000000000005,416.40000000000003,439.40000000000003,460.20000000000005,480.30000000000007,504.70000000000005,504.70000000000005,528.4000000000001,549.1000000000001,573.8000000000002,598.9000000000002,623.1000000000003,650.8000000000003,681.5000000000003
2014-10-25,22.2,21.0,41.6,60.3,76.0,93.1,115.8,138.3,159.5,177.5,197.5,217.5,239.2,268.2,293.8,320.1,345.5,369.1,391.6,414.20000000000005,437.40000000000003,460.40000000000003,481.20000000000005,501.30000000000007,525.7,525.7,549.4000000000001,570.1000000000001,594.8000000000002,619.9000000000002,644.1000000000003,674.8000000000003
2014-10-26,19.9,22.2,43.2,63.800000000000004,82.5,98.2,115.30000000000001,138.0,160.5,181.7,199.7,219.7,239.7,261.4,290.4,316.0,342.3,367.7,391.3,413.8,436.40000000000003,459.6,482.6,503.40000000000003,523.5,547.9,547.9,571.6,592.3000000000001,617.0000000000001,642.1000000000001,672.8000000000002
2014-10-27,16.9,19.9,42.099999999999994,63.099999999999994,83.69999999999999,102.39999999999999,118.1,135.2,157.89999999999998,180.39999999999998,201.59999999999997,219.59999999999997,239.59999999999997,259.59999999999997,281.29999999999995,310.29999999999995,335.9,362.2,387.59999999999997,411.2,433.7,456.3,479.5,502.5,523.3,543.4,567.8,567.8,591.5,612.2,636.9000000000001,667.6000000000001
2014-10-28,19.4,16.9,36.8,59.0,80.0,100.6,119.3,135.0,152.1,174.79999999999998,197.29999999999998,218.49999999999997,236.49999999999997,256.5,276.5,298.2,327.2,352.8,379.1,404.5,428.1,450.6,473.20000000000005,496.40000000000003,519.4000000000001,540.2,560.3000000000001,584.7,584.7,608.4000000000001,629.1000000000001,659.8000000000002
2014-10-29,20.8,19.4,36.3,56.199999999999996,78.39999999999999,99.39999999999999,120.0,138.7,154.39999999999998,171.49999999999997,194.19999999999996,216.69999999999996,237.89999999999995,255.89999999999995,275.9,295.9,317.59999999999997,346.59999999999997,372.2,398.5,423.9,447.5,470.0,492.6,515.8000000000001,538.8000000000001,559.6,579.7,604.1,604.1,627.8000000000001,658.5000000000001
2014-10-30,20.8,20.8,40.2,57.1,77.0,99.2,120.2,140.8,159.5,175.2,192.29999999999998,214.99999999999997,237.49999999999997,258.7,276.7,296.7,316.7,338.4,367.4,393.0,419.3,444.7,468.3,490.8,513.4,536.6,559.6,580.4,600.5,624.9,624.9,655.6
2014-10-31,18.2,20.8,41.6,61.0,77.9,97.80000000000001,120.00000000000001,141.0,161.6,180.29999999999998,195.99999999999997,213.09999999999997,235.79999999999995,258.29999999999995,279.49999999999994,297.49999999999994,317.49999999999994,337.49999999999994,359.19999999999993,388.19999999999993,413.79999999999995,440.09999999999997,465.49999999999994,489.09999999999997,511.59999999999997,534.1999999999999,557.4,580.4,601.1999999999999,621.3,645.6999999999999,645.6999999999999
2014-11-01,22.9,20.8,41.6,61.0,77.9,97.80000000000001,120.00000000000001,141.0,161.6,180.29999999999998,195.99999999999997,213.09999999999997,235.79999999999995,258.29999999999995,279.49999999999994,297.49999999999994,317.49999999999994,337.49999999999994,359.19999999999993,388.19999999999993,413.79999999999995,440.09999999999997,465.49999999999994,489.09999999999997,511.59999999999997,534.1999999999999,557.4,580.4,601.1999999999999,621.3,621.3,652.0
